row,date,City,Amount
0,20111001,San Francisco,62.7
1,20111002,San Francisco,59.9
2,20111003,San Francisco,59.1
3,20111004,San Francisco,58.8
4,20111005,San Francisco,58.7
5,20111006,San Francisco,57.0
6,20111007,San Francisco,56.7
7,20111008,San Francisco,56.8
8,20111009,San Francisco,56.7
9,20111010,San Francisco,60.1
10,20111011,San Francisco,61.1
11,20111012,San Francisco,61.5
12,20111013,San Francisco,64.3
13,20111014,San Francisco,67.1
14,20111015,San Francisco,64.6
15,20111016,San Francisco,61.6
16,20111017,San Francisco,61.1
17,20111018,San Francisco,59.2
18,20111019,San Francisco,58.9
19,20111020,San Francisco,57.2
20,20111021,San Francisco,56.4
21,20111022,San Francisco,60.7
22,20111023,San Francisco,65.1
23,20111024,San Francisco,60.9
24,20111025,San Francisco,56.1
25,20111026,San Francisco,54.6
26,20111027,San Francisco,56.1
27,20111028,San Francisco,58.1
28,20111029,San Francisco,57.5
29,20111030,San Francisco,57.7
30,20111031,San Francisco,55.1
31,20111101,San Francisco,57.9
32,20111102,San Francisco,64.6
33,20111103,San Francisco,56.2
34,20111104,San Francisco,50.5
35,20111105,San Francisco,51.3
36,20111106,San Francisco,52.6
37,20111107,San Francisco,51.4
38,20111108,San Francisco,50.6
39,20111109,San Francisco,54.6
40,20111110,San Francisco,55.6
41,20111111,San Francisco,53.9
42,20111112,San Francisco,54.0
43,20111113,San Francisco,53.8
44,20111114,San Francisco,53.5
45,20111115,San Francisco,53.4
46,20111116,San Francisco,52.2
47,20111117,San Francisco,52.7
48,20111118,San Francisco,53.1
49,20111119,San Francisco,49.0
50,20111120,San Francisco,50.4
51,20111121,San Francisco,51.1
52,20111122,San Francisco,52.3
53,20111123,San Francisco,54.6
54,20111124,San Francisco,55.1
55,20111125,San Francisco,51.5
56,20111126,San Francisco,53.6
57,20111127,San Francisco,52.3
58,20111128,San Francisco,51.0
59,20111129,San Francisco,49.5
60,20111130,San Francisco,49.8
61,20111201,San Francisco,60.4
62,20111202,San Francisco,62.2
63,20111203,San Francisco,58.3
64,20111204,San Francisco,52.7
65,20111205,San Francisco,51.5
66,20111206,San Francisco,49.9
67,20111207,San Francisco,48.6
68,20111208,San Francisco,46.4
69,20111209,San Francisco,49.8
70,20111210,San Francisco,52.1
71,20111211,San Francisco,48.8
72,20111212,San Francisco,47.4
73,20111213,San Francisco,47.2
74,20111214,San Francisco,46.1
75,20111215,San Francisco,48.8
76,20111216,San Francisco,47.9
77,20111217,San Francisco,49.8
78,20111218,San Francisco,49.1
79,20111219,San Francisco,48.3
80,20111220,San Francisco,49.3
81,20111221,San Francisco,48.4
82,20111222,San Francisco,53.3
83,20111223,San Francisco,47.5
84,20111224,San Francisco,47.9
85,20111225,San Francisco,48.9
86,20111226,San Francisco,45.9
87,20111227,San Francisco,47.2
88,20111228,San Francisco,48.9
89,20111229,San Francisco,50.9
90,20111230,San Francisco,52.9
91,20111231,San Francisco,50.1
92,20120101,San Francisco,53.9
93,20120102,San Francisco,53.1
94,20120103,San Francisco,49.7
95,20120104,San Francisco,52.7
96,20120105,San Francisco,52.6
97,20120106,San Francisco,49.0
98,20120107,San Francisco,51.0
99,20120108,San Francisco,56.8
100,20120109,San Francisco,52.3
101,20120110,San Francisco,51.6
102,20120111,San Francisco,49.8
103,20120112,San Francisco,51.9
104,20120113,San Francisco,53.7
105,20120114,San Francisco,52.9
106,20120115,San Francisco,49.7
107,20120116,San Francisco,45.3
108,20120117,San Francisco,43.6
109,20120118,San Francisco,45.0
110,20120119,San Francisco,47.3
111,20120120,San Francisco,51.4
112,20120121,San Francisco,53.7
113,20120122,San Francisco,48.3
114,20120123,San Francisco,52.9
115,20120124,San Francisco,49.1
116,20120125,San Francisco,52.1
117,20120126,San Francisco,53.6
118,20120127,San Francisco,50.4
119,20120128,San Francisco,50.3
120,20120129,San Francisco,53.8
121,20120130,San Francisco,51.9
122,20120131,San Francisco,50.0
123,20120201,San Francisco,50.0
124,20120202,San Francisco,51.3
125,20120203,San Francisco,51.5
126,20120204,San Francisco,52.0
127,20120205,San Francisco,53.8
128,20120206,San Francisco,54.6
129,20120207,San Francisco,54.3
130,20120208,San Francisco,51.9
131,20120209,San Francisco,53.8
132,20120210,San Francisco,53.9
133,20120211,San Francisco,52.3
134,20120212,San Francisco,50.1
135,20120213,San Francisco,49.5
136,20120214,San Francisco,48.6
137,20120215,San Francisco,49.9
138,20120216,San Francisco,52.4
139,20120217,San Francisco,49.9
140,20120218,San Francisco,51.6
141,20120219,San Francisco,47.8
142,20120220,San Francisco,48.7
143,20120221,San Francisco,49.7
144,20120222,San Francisco,53.4
145,20120223,San Francisco,54.1
146,20120224,San Francisco,55.9
147,20120225,San Francisco,51.7
148,20120226,San Francisco,47.7
149,20120227,San Francisco,45.4
150,20120228,San Francisco,47.0
151,20120229,San Francisco,49.8
152,20120301,San Francisco,48.9
153,20120302,San Francisco,48.1
154,20120303,San Francisco,50.7
155,20120304,San Francisco,55.0
156,20120305,San Francisco,48.8
157,20120306,San Francisco,48.4
158,20120307,San Francisco,49.9
159,20120308,San Francisco,49.2
160,20120309,San Francisco,51.7
161,20120310,San Francisco,49.3
162,20120311,San Francisco,50.0
163,20120312,San Francisco,48.6
164,20120313,San Francisco,53.9
165,20120314,San Francisco,55.2
166,20120315,San Francisco,55.9
167,20120316,San Francisco,54.6
168,20120317,San Francisco,48.2
169,20120318,San Francisco,47.1
170,20120319,San Francisco,45.8
171,20120320,San Francisco,49.7
172,20120321,San Francisco,51.4
173,20120322,San Francisco,51.4
174,20120323,San Francisco,48.4
175,20120324,San Francisco,49.0
176,20120325,San Francisco,46.4
177,20120326,San Francisco,49.7
178,20120327,San Francisco,54.1
179,20120328,San Francisco,54.6
180,20120329,San Francisco,52.3
181,20120330,San Francisco,54.5
182,20120331,San Francisco,56.2
183,20120401,San Francisco,51.1
184,20120402,San Francisco,50.5
185,20120403,San Francisco,52.2
186,20120404,San Francisco,50.6
187,20120405,San Francisco,47.9
188,20120406,San Francisco,47.4
189,20120407,San Francisco,49.4
190,20120408,San Francisco,50.0
191,20120409,San Francisco,51.3
192,20120410,San Francisco,53.8
193,20120411,San Francisco,52.9
194,20120412,San Francisco,53.9
195,20120413,San Francisco,50.2
196,20120414,San Francisco,50.9
197,20120415,San Francisco,51.5
198,20120416,San Francisco,51.9
199,20120417,San Francisco,53.2
200,20120418,San Francisco,53.0
201,20120419,San Francisco,55.1
202,20120420,San Francisco,55.8
203,20120421,San Francisco,58.0
204,20120422,San Francisco,52.8
205,20120423,San Francisco,55.1
206,20120424,San Francisco,57.9
207,20120425,San Francisco,57.5
208,20120426,San Francisco,55.3
209,20120427,San Francisco,53.5
210,20120428,San Francisco,54.7
211,20120429,San Francisco,54.0
212,20120430,San Francisco,53.4
213,20120501,San Francisco,52.7
214,20120502,San Francisco,50.7
215,20120503,San Francisco,52.6
216,20120504,San Francisco,53.4
217,20120505,San Francisco,53.1
218,20120506,San Francisco,56.5
219,20120507,San Francisco,55.3
220,20120508,San Francisco,52.0
221,20120509,San Francisco,52.4
222,20120510,San Francisco,53.4
223,20120511,San Francisco,53.1
224,20120512,San Francisco,49.9
225,20120513,San Francisco,52.0
226,20120514,San Francisco,56.0
227,20120515,San Francisco,53.0
228,20120516,San Francisco,51.0
229,20120517,San Francisco,51.4
230,20120518,San Francisco,52.2
231,20120519,San Francisco,52.4
232,20120520,San Francisco,54.5
233,20120521,San Francisco,52.8
234,20120522,San Francisco,53.9
235,20120523,San Francisco,56.5
236,20120524,San Francisco,54.7
237,20120525,San Francisco,52.5
238,20120526,San Francisco,52.1
239,20120527,San Francisco,52.2
240,20120528,San Francisco,52.9
241,20120529,San Francisco,52.1
242,20120530,San Francisco,52.1
243,20120531,San Francisco,53.3
244,20120601,San Francisco,54.8
245,20120602,San Francisco,54.0
246,20120603,San Francisco,52.3
247,20120604,San Francisco,55.3
